ResponseId,Country,Age,EdLevel
2,UK,35-44 years old,Bachelor
3,UK,45-54 years old,Master
10,Serbia,35-44 years old,Master
11,USA,35-44 years old,Bachelor
12,Poland,45-54 years old,Professional
19,Germany,25-34 years old,Some College
23,Ireland,45-54 years old,Bachelor
24,USA,55-64 years old,Bachelor
27,Italy,35-44 years old,Bachelor
29,UK,25-34 years old,Secondary school
30,Philippines,25-34 years old,Bachelor
33,Brazil,25-34 years old,Associate degree
36,USA,25-34 years old,Some College
37,Austria,18-24 years old,Secondary school
39,France,35-44 years old,Professional
41,Brazil,25-34 years old,Bachelor
44,Austria,35-44 years old,Master
45,Romania,25-34 years old,Master
46,UK,25-34 years old,Bachelor
52,USA,18-24 years old,Secondary school
53,Germany,18-24 years old,Secondary school
55,UK,25-34 years old,Some College
62,Switzerland,55-64 years old,Master
65,Sweden,45-54 years old,Bachelor
72,Sweden,45-54 years old,Bachelor
75,Switzerland,55-64 years old,Master
78,Macedonia,18-24 years old,Some College
79,USA,45-54 years old,Bachelor
87,UK,45-54 years old,Secondary school
111,Greece,18-24 years old,Master
113,Ireland,45-54 years old,Bachelor
114,USA,45-54 years old,Master
119,Sweden,25-34 years old,Bachelor
121,Tanzania,25-34 years old,Bachelor
122,Ireland,45-54 years old,Master
125,Japan,35-44 years old,Bachelor
127,India,25-34 years old,Master
129,USA,35-44 years old,Bachelor
130,Sweden,35-44 years old,Secondary school
132,Germany,25-34 years old,Bachelor
134,UK,18-24 years old,Some College
138,Argentina,35-44 years old,Bachelor
140,Pakistan,Under 18 years old,Secondary school
142,Italy,25-34 years old,Some College
150,Croatia,35-44 years old,Some College
151,Turkey,25-34 years old,Bachelor
156,Portugal,25-34 years old,Master
158,USA,18-24 years old,Associate degree
159,Sri Lanka,25-34 years old,Bachelor
163,Sri Lanka,25-34 years old,Bachelor
166,USA,35-44 years old,Master
173,Romania,18-24 years old,Some College
176,USA,25-34 years old,Master
181,Portugal,25-34 years old,Master
182,Poland,18-24 years old,Some College
183,USA,25-34 years old,Bachelor
185,Hungary,35-44 years old,Master
189,Canada,25-34 years old,Bachelor
190,Czech Republic,35-44 years old,Secondary school
